Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
"a. A  table  set
(maroon color)
b. A tie
c. A ball point (Mont
Blanc)",,"Mr.  Jahangir  Khan,
Minister  for  Industries  &
Production",Gen. Musharraf,6/29/2004,19500,0,Auctioned,"Auctioned
a. For
Rs.1,500/-
b. For
Rs.1,770/
c. For
Rs.11,000/-"
"Water  Container
(decoration piece)",Decoration Pieces,"Col.  Salik  Nawaz,  Deputy
Chief  of  Protocol,  Foreign
Affairs",Military,7/2/2004,1800,0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Abdul  Hameed.
Controller  News reporter,
PBC",Media,7/6/2004,18000,1200,Yes,Yes
"A  Waterman  Paris
Pen",Pen,"Col.  Salik  Nawaz,  Deputy
Chief  of  Protocol,  Foreign
Affairs",Military,7/12/2004,3200,0,Yes,Yes
One woolen carpet,Carpet,Foreign Secretary,Bureaucracy,7/14/2004,5000,0,Yes,Yes
"A  Waterman  Paris
Pen",Pen,Foreign Secretary,Bureaucracy,7/14/2004,3200,0,Yes,Yes
"a. One carpet
b. One  picture
frame
c. One brass vas",Carpet,"General  Parvez
Musharraf,  President  of
Pakistan",Military,7/22/2004,42700,7365,Yes,Yes
"a. One broach
b. One plate
c. One  crystal
decoration block
d. One bowl",Decoration Pieces,"General  Parvez
Musharraf,  President  of
Pakistan",Military,7/22/2004,7500,0,Yes,Yes
"a. One  decoration
piece
b. One bowl crystal
c. One bowl blue
d. One  (printed
cloth)  Crystal
bowl",Decoration Pieces,"General  Parvez
Musharraf,  President  of
Pakistan",Military,7/22/2004,7300,0,Yes,Yes
Wrist Watch Roberge,Watch,"Admiral  ®  Abdul  Aziz
Mirza,  Ambassador  of
Pakistan in Saudi Arabia",Military,7/25/2004,25000,2250,Yes,Yes
"a. Model  of  Masjid-
e-Nabvi
b. Holy  Quran  +  32
audio
c. Piece of Ghulaf-e-
Kabah
d. MP-5 Gun",Weapons,"Ch.  Shujat  Hussain,
Prime Minister of Pakistan",Gen. Musharraf,7/26/2004,200000,28500,Yes,Yes
"a. One Carpet
b. One Saree",Carpet,"Ch.  Shujat  Hussain,
Prime Minister of Pakistan",Gen. Musharraf,7/26/2004,8500,0,Yes,Yes
Book,,"Ch.  Shujat  Hussain,
Prime Minister of Pakistan",Gen. Musharraf,7/26/2004,0,0,Yes,Yes
Decoration piece,Decoration Pieces,"Ch.  Shujat  Hussain,
Prime Minister of Pakistan",Gen. Musharraf,7/26/2004,8000,0,Yes,Yes
"a. Set of cufflinks
b. One tie",,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,7/27/2004,3000,0,Yes,Yes
Wrist Watch Roberge,Watch,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary",Military,7/27/2004,25000,2250,Yes,Yes
"One  Painting  duly
framed",,"Mir  Zafarullah  Khan
Jamali,  Ex-Prime  Minister
of Pakistan",Gen. Musharraf,7/28/2004,3000,0,Yes,Yes
Wrist Watch Roberge,Watch,"Muhammad  Saeed  Khan,
Deputy  Chief  of  Protocol
(V-I), Foreign Affairs",Military,7/28/2004,25000,2250,Yes,Yes
"Six  Packet  of  Herbal
Tea and a CD",Crockery,"Syed  Abrar  Hussain,
Director (SAARC), Foreign
Affairs",Gen. Musharraf,7/31/2004,900,0,Yes,Yes
A wall hanging plate,,"Syed  Abrar  Hussain,
Director (SAARC), Foreign
Affairs",Bureaucracy,7/31/2004,4000,0,Yes,Yes
"Small  brass  water
container",,"Syed  Abrar  Hussain,
Director (SAARC), Foreign
Affairs",Bureaucracy,7/31/2004,1800,0,Yes,Yes
"Wrist Watch Roberge
in steel 18kt Gold",Watch,"Mr.  Shuja  Shah,  Principal
Secretary  to  the  Prime
Minister",Bureaucracy,8/3/2004,35000,3750,Yes,Yes
One sword,,"Syed  Anwar  Mahmood,
Secretary  Information  &
Broadcasting",Bureaucracy,8/3/2004,4000,0,Yes,Yes
One small carpet,Carpet,"Miss.  Rabbani  Khar,
Parliamentary  Secretary,
Economic Affairs Division",PPP,8/10/2004,1000,0,Yes,Yes
"Book  on  Azerbaijan
Cookery",,"Miss.  Rabbani  Khar,
Parliamentary  Secretary,
Economic Affairs Division",PPP,8/10/2004,0,0,Yes,Yes
Ceramic plate,,"Miss.  Rabbani  Khar,
Parliamentary  Secretary,
Economic Affairs Division",PPP,8/10/2004,1500,0,Yes,Yes
"Mobile  Phone  NOKIA
6220",Phone,"R/Admiral  Asaf
Humanyun SI (M)",Military,8/11/2004,0,525,Yes,Yes
"Mobile  Phone  NOKIA
3100",Phone,"Cdr  M.  Qasim  Janjua,  SI
(M)",Military,8/11/2004,7500,0,Yes,Yes
"Mobile  Phone  NOKIA
3100",Phone,Captain Khalid Mahmood,Military,8/11/2004,7500,0,Yes,Yes
"a. One Mobile Phone
Motorola V291
b. One MP-3 Player",Phone,"Lt.  Cdr  M.  Jahanzeb
Ahsan PN",Military,8/11/2004,9700,0,Yes,Yes
"Mobile  Phone
(Motorola V290)",Phone,"Mr.  Kazim  Altaf  AM
(Tech)",Bureaucracy,8/11/2004,5000,0,Yes,Yes
"Mobile  Phone
(Motorola V290)",Phone,Mr. Zahid Rizwan (Tech),Bureaucracy,8/11/2004,5000,0,Yes,Yes
"Mobile  Phone
(Motorola V290)",Phone,"Mr.  Muazam  Hayat  AM
(Tech)",Bureaucracy,8/11/2004,5000,0,Yes,Yes
"Mobile  Phone
(Motorola V290)",Phone,"Mr.  Hasnain  Ali,  PN  AM
(Tech)",Bureaucracy,8/11/2004,5000,0,Yes,Yes
"Mobile  Phone
(Motorola V290)",Phone,"Mr.  Aqeel  Rashad  AM
(Tech)",Bureaucracy,8/11/2004,5000,0,Yes,Yes
"Mobile  Phone
(Motorola V290)",Phone,"Mr.  Saqib  Mahmood  AM
(Tech)",Bureaucracy,8/11/2004,5000,0,Yes,Yes
Three Piece Tea Set,Crockery,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,8/12/2004,4000,0,Yes,Yes
"One  Woolen  Carpet
(6x4)",Carpet,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,8/12/2004,7000,0,Yes,Yes
"One  Radio  and
Recorder",,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,8/12/2004,1800,0,Yes,Yes
"One  Scenery
Painting",,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,8/12/2004,5000,0,Yes,Yes
One decoration plate,Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,8/12/2004,2000,0,Yes,Yes
One wooden box,,"Mr. Shaukat Aziz, Minister
Finance  and  Economic
Affairs",Gen. Musharraf,8/12/2004,500,0,Yes,Yes
"One  Jewellery  box
having  one  necklace
and a ring",,"General  Parvez
Musharraf,  President  of
Pakistan",Military,8/16/2004,195000,27750,Yes,Yes
"a. One  wrist  watch
Bvlgari
b. One  wrist  watch
Bvlgari",Watch,"Maj  General  Shafatullah
Shah,  Military  Secretary
to President",Military,8/25/2004,85000,11250,Yes,Yes
"a. One  wrist  watch
Bvlgari (gents)
b. One  Wrist  Watch
Bvlgari  (ladies)",Watch,"Mohammad  Ijaz-ul-Haq,
Federal  Minister  for
Religious Affairs",Gen. Musharraf,8/26/2004,85000,11250,Yes,Yes
One Jewellary box,,"Brig. ®Mian Khalid Habib,
Chief  of  Protocol,  Foreign
Affairs",Military,8/27/2004,1000,0,Yes,Yes
One Metallic box,,"Col.  Salik  Nawaz  ®,
Deputy  Chief  of  Protocol,
Foreign Affairs",Military,8/30/2004,800,0,Yes,Yes
One souvenir,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,9/2/2004,0,0,Yes,Yes
"A  wrist  watch
Concord",Watch,"Col.  Salik  Nawaz,  DCVP,
Foreign Affairs",Military,9/11/2004,30000,3000,Yes,Yes
"One Wrist  Watch
Chaumat",Watch,"Muhammad  Saeed  Khan,
Deputy  Chief  of  Protocol,
Foreign Affairs",Military,9/13/2004,30000,3000,Yes,Yes
One Ball Pen,Pen,"Mr.  Tanweer  Khalique,
Protocol  Officer  (Admn  &
Accounts)",Military,9/14/2004,1200,0,Yes,Yes
One Ball Pen,Pen,"Mohammad  Kurshid,  P.A
to  Chief  of  Protocol,
Foreign Affairs",Military,9/14/2004,1200,0,Yes,Yes
"One  wrist  watch
Concord",Watch,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,9/14/2004,30000,3000,Yes,Yes
"One wrist watch Paul
Picot",Watch,"Wife  of  Brig.  Tahir
Mahmud Malik",Military,9/14/2004,50000,6000,Yes,Yes
"One  wrist  watch
Concord",Watch,"Brig.  Azhar  Mahmood,
Personal  Physician  to  the
Prime Minister",Military,9/14/2004,30000,3000,Yes,Yes
"One  wrist  watch
Tissot",Watch,"Mr.  Pervaiz  Zahoor,  Chief
Security  Officer  to  the
Prime Minister",Military,9/14/2004,10000,0,Yes,Yes
One  wrist  watch,Watch,"Sqn.  Ldr.  Anwar  Karim,",Military,9/14/2004,30000,3000,Amount,Amount
"One  wrist  watch
Tissot",Watch,"Major  Arif  Aziz  Khan,
Security officer",Military,9/14/2004,14000,600,Yes,Yes
A wrist watch Tissot,Watch,"Capt.  (Retd.)  Abdul
Majeed Niazi,  PRO  to  the
Prime Minister",Military,9/14/2004,10000,0,Yes,Yes
A wrist watch Tissot,Watch,"Mr.  M.  Hassan,  PS  to  the
Prime Minister",Military,9/14/2004,10000,0,Yes,Yes
A wrist watch Tissot,Watch,"Mr.  Shahzad  Hussain
LDC,  Prime  Minister
Sectt.",Military,9/14/2004,10000,0,Yes,Yes
A wrist watch Tissot,Watch,"Mr.  Khalid  Nadeem,
Inspector, Gunman",Police,9/14/2004,14000,600,Yes,Yes
A wrist watch Tissot,Watch,"Hav.  Abdul  Ghaffar,  SSG
Gunman",Police,9/14/2004,14000,600,Yes,Yes
A wrist watch Tissot,Watch,"NK,  Sahib  Khan,  SSG
Gunman",Military,9/14/2004,10000,0,Yes,Yes
A wrist watch Tissot,Watch,"H/C  Muhammad  Bashir,
Gunman",Police,9/14/2004,5500,0,Yes,Yes
A wrist watch Tissot,Watch,"H/C Gulfraz Ali, Gunman",Police,9/14/2004,14000,0,Yes,Yes
A wrist watch Tissot,Watch,"Constable  Rab  Nawaz,
Gunman",Police,9/14/2004,5500,0,Yes,Yes
A wrist watch Tissot,Watch,"Constable  Siraj  Khan,
Gunman",Police,9/14/2004,10000,0,Yes,Yes
A wrist watch Tissot,Watch,"Sep.  Irfan  ul  Haq,  SSG,
Gunman",Police,9/14/2004,5500,0,Yes,Yes
A wrist watch Trebor,Watch,"Constable  Miss.  Kalsoom
Khan, Lady Gunman",Police,9/14/2004,45000,0,Yes,Yes
A wrist watch Trebor,Watch,"Constable  Miss.  Shahzad
Begum, Lady Gunman",Police,9/14/2004,45000,0,Yes,Yes
A wrist watch Tissot,Watch,"Mr.  M.  Akram,  Nursing
Assistant",Bureaucracy,9/14/2004,14000,0,Yes,Yes
A wrist watch Tissot,Watch,Mr. M. Pervez Valet,,9/14/2004,14000,0,Yes,Yes
"a. A  gent’s  wrist
watch Bvlgari
b. A  ladies  wrist
watch Bvlgari",Watch,"Mr.  Sheikh  Rasheed
Ahmed,  Minister  for
Information  and
Broadcasting ",Gen. Musharraf,9/14/2004,85000,11250,Yes,Yes
"a. A  wrist  watch
gent’s Bvlgari
b. a  ladies  wrist
watch Bvlgari",Watch,"Mr.  Aftab  Ahmed  Khan
Sherpao,  Minister  of
Interior",Gen. Musharraf,9/15/2004,85000,11250,Yes,Yes
"Wrist  Watch  (Rado
Florence,  Golden
Chain)",Watch,"Shahid  Ali  Seehar,
Protocol  Officer  (V-I),
Foreign Affairs",Bureaucracy,9/17/2004,20000,1500,Yes,Yes
A wrist Watch Epos,Watch,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,9/20/2004,55000,6750,Yes,Yes
"a. One book
b. One coin (silver)",,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,9/20/2004,0,0,Yes,Yes
"One  Tea  Set
(ceramics)",Crockery,"Mr.  Jahangir  Khan,
Tareen,  Minister  for
Industries,  Production
and Special Initiatives",Gen. Musharraf,9/20/2004,1500,0,Auctioned,"Gift auctioned
for Rs.3,911/-"
"One  wall  hanging
(decoration piece)",Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,9/20/2004,7500,0,Yes,Yes
One Jewellery Set,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,9/20/2004,227505,32626,Yes,Yes
"One  wrist  watch
Concord",Watch,"Mr.  Javed  Hafiz,
Additional  Secretary,  M/o
Foreign Affairs",Bureaucracy,9/20/2004,30000,3000,Yes,Yes
"Wrist  watch  roles
(DAYTONA)",Watch,"General  Parvez
Musharraf,  President  of
Pakistan",Military,9/21/2004,725000,107250,Yes,Yes
"A  Flower  Vase  in  a
Wooden Case",Decoration Pieces,"Mr. Muhammad Ilyas Dar,
Joint  Secretary  M/o
Religious Affairs",Gen. Musharraf,9/22/2004,4000,0,Yes,Yes
Souvenir in a frame,,"Mr.  Salim  Iqbal,  Sr.  Joint",Bureaucracy,9/22/2004,1800,0,Auctioned,Gift auctioned
"a. One  wrist  watch
Bvlgari
b. One  wrist  watch
Bvlgari",Watch,"Mr.  Habibullah  Waraich,
Minister for defence",Gen. Musharraf,9/27/2004,85000,11250,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Mohsin  Ali,
photographer, PID",Media,9/29/2004,18000,1200,Yes,Yes
"a. One wrist watch
Bvlgari (gents)
b. One wrist watch
Bvlgari (ladies)",Watch,"Mr.  Babar  Khan  Gauri,
Federal  Minister  for  Ports
and Shipping",Gen. Musharraf,9/29/2004,85000,11250,Yes,Yes
"Model  of  Khana
Kabah",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,9/29/2004,37000,5550,Yes,Yes
One bag with folder,Bags,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,9/29/2004,1500,0,Yes,Yes
"Box containing, wrist
watch,  ball  ponts
box  of  gold  green
pen, perfume Deep,
Tashbih,  Key  Chain,
telephone  index,
higher  energy
perfume",Watch,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,9/29/2004,201700,28755,Yes,Yes
Sword,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,9/29/2004,19760,1464,Yes,Yes
"One  wrist  watch
Tissot",Watch,"Mr.  Mohsin  Ali,
Photographer, PID",Media,9/29/2004,14000,600,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Rafaqat  Hussain,
Engineer PTV",Media,9/30/2004,18000,1200,Yes,Yes
One  wrist  watch,Watch,"Mr.  Rafaqat  Hussain,",Media,9/30/2004,14000,600,Amount,Amount
"One  wrist  watch
Officina Del Tempo",Watch,"Ali Imran, Reporter, APP",Media,10/6/2004,18000,1200,Yes,Yes
"One  wrist  of  Officina
Del temp",,"Mr.  Muzammil  Ahmed
Khan, Controller  PTV
News, Islamabad",Media,10/6/2004,0,1200,Yes,Yes
Two cigarettes cases,Cigar/Cigarettes,"General  Parvez
Musharraf,  President  of
Pakistan",Military,10/7/2004,3500,0,Yes,Yes
One decoration piece,Decoration Pieces,"General  Parvez
Musharraf,  President  of
Pakistan",Military,10/7/2004,6500,0,Yes,Yes
One clay bowl,,"General  Parvez
Musharraf,  President  of
Pakistan",Military,10/7/2004,5000,0,Yes,Yes
"a. One DVD-917V
b. One book
c. Two cds
d. One cup
e. One chadar",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,10/9/2004,4600,0,Yes,Yes
"One  wrist  watch
Tissot",Watch,"Mr.  Saeed  Akhtar,
Protocol  Assistant,  M/o
Foreign Affairs",Military,10/12/2004,5500,0,Yes,Yes
"a. One Music CD
b. One  Ball  Point
(Mont Blanc) with
scarf
c. One  Crystal
Decoration Piece",Decoration Pieces,"Mr.  Jahangir  Khan,
Tareen,  Minister  for
Industries,  Production
and Special Initiatives",Gen. Musharraf,10/13/2004,8060,0,Auctioned,"Gift auctioned
a. for Rs.60/-
b. for
Rs.7,110/-
c. for
Rs.3,611/-"
Ball Pen,Pen,"Col.  Salik  Nawaz®,
Deputy  Chief  of  Protocol,
Foreign Affairs",Military,10/14/2004,1500,0,Yes,Yes
"One  wrist  watch
Concord",Watch,"Mr.  Riaz  H.  Khokhar,
Foreign Secretary",Gen. Musharraf,10/15/2004,30000,3000,Yes,Yes
"Model  of  ship
“SAINT GERAN”",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,10/17/2004,8000,0,Yes,Yes
Pair of Horses,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,10/17/2004,10000,0,Yes,Yes
"a. Wrist  watch
Piaget
b. Wrist  watch
Chopard
c. Four  bottles  of
scent",Watch,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,10/19/2004,503000,73950,Yes,Yes
Ceramic flower vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,10/19/2004,650,0,Yes,Yes
"One  wrist  watch
Tissot",Watch,"Mr.  M.  Fayyaz  Chaudhry,
Foreign  Editor,  APP,
Islamabad",Media,10/20/2004,14000,600,Yes,Yes
"One  wooden  box
(small)",,"Mr.  Sikandar  Hayat  Khan
Bosan,  Minister  Food,
Agriculture & Livestock",Gen. Musharraf,10/21/2004,300,0,Auctioned,"Gift auctioned
for Rs.652/-"
"One  concord  wrist
watch",Watch,"Mr.  Ali  Imran  Reporter
APP",Media,10/21/2004,15000,750,Yes,Yes
Table clock,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,10/21/2004,1500,0,Yes,Yes
Decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,10/21/2004,5500,0,Yes,Yes
"a. One  Wrist  watch
Bvlgari
b. One  Wrist  watch
Bvlgari",Watch,"Mr.  Hamid  Yar  Hiraj,
Minister  for  State  for
Commerce",Gen. Musharraf,10/21/2004,85000,11250,Yes,Yes
"Mobile  set  Nokia
(7260)",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,10/22/2004,23000,1950,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Muhammad  Younas
Khan,  Chief  Cameraman,
PTV",Media,10/23/2004,18000,1200,Yes,Yes
Wrist Watch Tissot,Watch,"Mr.  Muhammad  Younas
Khan  Chief  Cameraman
PTV",Media,10/23/2004,5500,0,Yes,Yes
"One  wrist  watch
(Audmars  Piguet
No.C-7467)",Watch,"Brig.(R)  Mian  Khalid
Habib,  Chief  of  Protocol,
Foreign Affairs",Military,10/24/2004,375000,0,Auctioned,"Auctioned for
Rs.161,000/-"
"One  wrist  watch
Tissot",Watch,"Mr.  Hassan  Syed,
Reporter PTV",Media,10/25/2004,14000,600,Yes,Yes
A Ball Point,,"Mr.  Munir  Ahmed,
Director  (P&C),  M/o
Privatization",Gen. Musharraf,10/26/2004,200,0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Javed  Iqbal  Qureshi,
Chief  News  Editor,  Urdu
Service, APPC, Islamabad",Media,10/26/2004,18000,1200,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Sohail  Nasir,  Photo-
Editor, APPC, Islamabad",Media,10/26/2004,18000,1200,Yes,Yes
"Insignia  of
Commonwealth",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,10/26/2004,0,0,Yes,Yes
A book,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,10/26/2004,0,0,Yes,Yes
"a. One  wrist  watch
Bvlgari (gents)
b. One  wrist  watch
Bvlgari (ladies)",Watch,"Mr.  Muhammad  Nasir
Khan, Federal Minister for
Health",Gen. Musharraf,10/27/2004,85000,11250,Yes,Yes
"a. One  Wrist  watch
Bvlgari
b. One  Wrist  watch
Bvlgari",Watch,"Ch.  Shabaz  Hussain,
Minister  for  Population
Welfare",Gen. Musharraf,10/28/2004,85000,11250,Yes,Yes
"One  concord  wrist
watch",Watch,"Col.  Baber  Mumtaz,
Additional Security Officer
to President",Military,11/2/2004,15000,750,Yes,Yes
"a. One  wrist  watch
Bvlgari (gents)
b. One  wrist  watch
Bvlgari (ladies)",Watch,"Minister  for  Housing  &
Works",Gen. Musharraf,11/4/2004,85000,11250,Auctioned,"Gift auctioned
a. for
Rs.28,110/-
b. for"
"a. One  wrist  watch
Bvlgari
b. One  wrist  watch
Bvlgari",Watch,"Senator  Tariq  Azim  Khan,
Minister  of  State  for
Overseas Pakistanis",Gen. Musharraf,11/5/2004,85000,11250,Yes,Yes
Stamp Album,,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,11/6/2004,0,0,Yes,Yes
"A  scenery  duly
framed",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/8/2004,4000,0,Yes,Yes
"Two  dinner  sets  (48
pcs)",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/8/2004,10000,0,Yes,Yes
"a. A dinner set
b. A necklace Pearl
c. A saree",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/8/2004,16500,975,Yes,Yes
A Jewellery box,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/8/2004,3200,0,Yes,Yes
"Two  caps  &  two
bags",Bags,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/8/2004,1200,0,Yes,Yes
"A  saree,  a  book,  a
hair  brush  and  two
combs",,"Mr.  Shaukat Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/8/2004,2000,0,Yes,Yes
Tea set 17 Pcs,Crockery,"Miss.  Hina  Rabbani  Khar,
Minister  of  State  for
Economic Affairs",PPP,11/11/2004,3000,0,Yes,Yes
A pullover & cap,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/11/2004,6000,0,Yes,Yes
One Mini DVD,,"Mr.  Mumtaz  Malik,  Joint
Secretary,  (EF-C&B),
Finance Division",Bureaucracy,11/12/2004,4200,0,Yes,Yes
"Woolen  Rug  and  a
wooden marque",,Foreign Secretary,Bureaucracy,11/12/2004,3300,0,Yes,Yes
"a. A carpet
b. A shawl",Carpet,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/20/2004,5600,0,Yes,Yes
Carpet,Carpet,"General  Parvez
Musharraf,  President  of
Pakistan",Military,11/22/2004,22000,1800,Yes,Yes
"a. One  wrist  watch
Bvlgari (gents)
b. One  wrist  watch
Bvlgari (ladies)",Watch,"Mr.  Rais  Munir  Ahmed,
Ex-Minister  for  sports
Culture & Youth",Gen. Musharraf,11/22/2004,85000,11250,Yes,Yes
Three sceneries,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/22/2004,2000,0,Yes,Yes
"Metallic Ash Tray
decoration piece",Decoration Pieces,"Mr.  Abdul  Ghafoor  A.
Memon,  Director,  Public
Relation, PID, Karachi",Gen. Musharraf,11/25/2004,0,0,"Retained but
the gift was not
deposited as
per Procedure","Retained but
the gift was not
deposited as
per Procedure"
"a. A Saree
b. A dinner set",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/26/2004,6600,0,Yes,Yes
"A  perfume  &
Shampoo",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/26/2004,3500,0,Yes,Yes
One scenery,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/29/2004,1500,0,Yes,Yes
A decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/29/2004,1800,0,Yes,Yes
"a. Two chaddars
b. Four turbans
c. Gents suit
d. Ladies suit
e. Three swords",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,11/29/2004,14000,600,Yes,Yes
"a. Stamps Album
b. A Chaddar",,"Lt.  Cdr.  Waseem  Abbas
Naqvi,  ADC  to  the  Prime
Minister",Military,11/30/2004,1800,0,Yes,Yes
"a. One rug
b. One shawl",,"Miss.  Hina  Rabbani  Khar,
Minister  of  State  for
Economic Affairs",PPP,12/1/2004,5600,0,Yes,Yes
Woolen Rug,,Foreign Secretary,Bureaucracy,12/2/2004,3800,0,Yes,Yes
Metallic box,,"Mr.  Sikandar  Hayat  Khan
Bosan,  Minister  Food,
Agriculture & Livestock",Gen. Musharraf,12/3/2004,200,0,Auctioned,"Gift auctioned
for Rs.411/-"
"One  wrist  watch
Tissot",Watch,"Mr.  Javed  Khan  Jadoon,
Deputy,  Controller  News,
PBC, Islamabad",Media,12/4/2004,10000,0,Yes,Yes
"a. One  wrist  watch
Bvlgari (gents)
b. One  wrist  watch
Bvlgari (ladies)",Watch,"Mr.  Ashfaq  Ahmed
Gondal,  Press  Secretary
to the Prime Minister",Gen. Musharraf,12/6/2004,107000,14550,Yes,Yes
One table clock,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,12/6/2004,3500,0,Yes,Yes
"a. A dagger in gold
b. A shield",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,12/6/2004,130700,18105,Yes,Yes
Pair of flower vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,12/6/2004,10800,120,Yes,Yes
A shirt and Saree,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,12/6/2004,2150,0,Yes,Yes
A sword,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,12/6/2004,4000,0,Yes,Yes
"a. A necklace
b. A shawl
c. A  decoration
piece
d. Wall  hanging
picture",Jewellery/Accessories,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,12/6/2004,13400,510,Yes,Yes
"One  Wooden
Jharoka",,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,12/8/2004,1500,0,Yes,Yes
One Dagger,,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,12/8/2004,2000,0,Yes,Yes
A Jewelry box,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,12/8/2004,3750,0,Yes,Yes
"A  wall  hanging
ceramic plate",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,12/8/2004,500,0,Yes,Yes
Three Daggers,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,12/8/2004,3000,0,Yes,Yes
Two scarfs,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,12/8/2004,50,0,Yes,Yes
"Wooden Jharoka,",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,12/8/2004,3500,0,Yes,Yes
"Replica  of
parliament House",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen. Musharraf,12/8/2004,0,0,Yes,Yes
